제목,URL,본문,댓글개수
언미생사 기준 22211 정시 대학 라인,https://cafe.naver.com/f-e/cafes/10197921/articles/29034008?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"언매,미적,생윤,사문 선택자이고 평가원 수능 22211(국,수는 중간 2등급이고 사탐은 높1이나 만점권) 나오면 정시 이과지원 기준 어느대학교까지 가능한가요? 교차지원 안하고 사탐 선택해서 전기전자, 기계, 컴공 등 공대 지원할때 라인이 궁금해요! ​그리고 만약 33211정도로 떨어지면 인서울 공대는 불가능한지도 궁금합니다",6
시대인재 가격,https://cafe.naver.com/f-e/cafes/10197921/articles/29034003?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,시대인재 수학 전국서바 시즌4 얼마인가요?,0
지금부터 우기분 어떤가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033987?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,"지금 무제만 간간히 풀고 있는데, 마지막 우기분 지금부터 가능할까요? 얻을게 많은가요?",0
남은 한달 국어 공부법 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/29033970?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,6모9모 각각 95점 89점 나와서 높2? 는 안돼도 중간2 였는데 10모에 낮3이 나왓어요ㅠㅠㅠ남은 한달동안 뭐해야하는지 추천해주세요.... 마닳...? 국일만 ...? 아수라..? 어떤거 해야할까여...,6
고3 생1  2등급 남은 기간 공부방향과  문제집 추천 부탁 드립니다.,https://cafe.naver.com/f-e/cafes/10197921/articles/29033948?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,​학원 안다니고 인강 커리 탔습니다. 기출은 풀었다했고 유전파트 기출은 몇 회독했는지는 모르겠습니다.(인강커리 타면서 문제 풀라니 문제 오류가 많다고 합니다) 남은 기간동안 공부방향과 문제집이나 모고 추천 부탁 드려요. 2등급은 지키자 목표를 정한것 같은데 저도 잘 몰라서문의 드립니다.​,6
윈터스쿨 가서 자습만 할 수 있나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033945?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,꼭 수업을 들어야 하나요?,6
사문 탈관료제 질문,https://cafe.naver.com/f-e/cafes/10197921/articles/29033869?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,강케이해설지에 탈관료제에서는 수평적 의사 결정 방식이 지배적으로 나타난다. 라고 돼있는데 상향식 의사결정이 지배적인거 아닌가요?,6
수학 높2 받으려면 어떤거 풀어야될까요,https://cafe.naver.com/f-e/cafes/10197921/articles/29033863?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=1,9모 76 10모 80 해서 (미적)3이거나 2끝 이거나 그런데용... 높2 받으려면 여기서 뭘 풀어야 될까요? 이미지 엔티켓 vs 4규 +평가원 정복하기는 난이도가 어떤가오??,0
"[3개월의 기적 합격 수기] 고졸- 재수 실패 - 학은제+알바6개월 병행+이공계 일반편입 공부 3개월 => 인서울 공대 3합격  + 건국,이화 1차합격",https://cafe.naver.com/f-e/cafes/10197921/articles/29033852?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"[3개월의 기적 합격 수기] ​고졸- 재수 실패 - 학은제+알바6개월 병행+이공계 일반편입 공부 3개월 => 인서울 공대 3합격 + 건국,이화 1차합격​학점은행제 선택 팁부터 유의할 점, 제가 진행한 곳(플래너), 편입학 공부팁 (3개월 합격의 기적), 원서 지원팁 그리고 시험당일 팁까지 제 모든 경험과 합격 수기를 담았습니다. ​합격에 누구보다 급하고 간절할 그때의 저와 같은 분들을 위해 조금이나마 도움이 되었으면 하는 마음으로 꼼꼼히 작성했습니다. ​총 15페이지이며 가격은 5900원입니다. ​​송금 구매시 바로 pdf 파일을 보내드립니다. 감사합니다.​카카오톡 오픈채팅을 시작해 보세요.링크를 선택하면 카카오톡이 실행됩니다.​3개월 기적 - 합격https://open.kakao.com/o/sLABvMVh Previous image Next image",0
제2외국어 중도포기,https://cafe.naver.com/f-e/cafes/10197921/articles/29033821?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,해도 아무 불이익 없는거맞죠? 수능성적표에 789 찍히는게 싫어서 중도포기하려고 합니다. 글고 단순 궁금증인데 나머지과목 만점 시 제2외국어가 1등급이 아니어도 수능만점으로 치나요?,6
정말로 개편안 수능첫해는 개꿀인건가요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033790?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,제가 09고 엄마가 '원래 대입 개편되고 시행되는 첫해는 개꿀이다'며 저의 자퇴후 내년 재입학을 반대하는데2028년 수능은 개꿀일거라면서.. 정말일까요ㅜ,6
혹시 지금 EBSi 사이트 들어가지나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033732?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,EBSi 사이트랑 이북 앱 둘 다 안 들어가지는데 ㅜㅜ,6
탐구시간엔 이름 언제 적나요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033716?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,시험지에 성명이랑 수험번호 적어야하잖아요​탐구볼때는 그거 언제 적는 거예요?시험 본령 전에 1번째과목 쓰고2분동안 2번째과목 쓰는 건가요?​아니면 흰봉투에 넣기 전에 2개 다 쓰는 건가요?,6
수능 수1수2 뭘 공부해야할까요ㅠㅠ,https://cafe.naver.com/f-e/cafes/10197921/articles/29033708?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"원래 미적을 하다가 수능 확통을 선택했는데, 수학 학원 그만두고 다른과목 집중하느라 안 푼지 꽤 돼서 감이 다 떨어진거 같아요ㅠㅠ​수1 수2 감 다시 잡으려면 뭐 공부하는게 좋을까요?​7,9모는 다 2등급 받았었어요!",6
포스텍일반전형2 면접날짜,https://cafe.naver.com/f-e/cafes/10197921/articles/29033607?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,포스텍일반전형2 면접날짜가 11월23이죠?,6
수능반입금지물품 어디서 봐요?,https://cafe.naver.com/f-e/cafes/10197921/articles/29033597?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,ㅠㅠ그리고 후드티 되는지 텀블러 되는지 등등 궁금한 게 많은데 물어보거나 확인할 곳 없나요…?,6
이감 모고,https://cafe.naver.com/f-e/cafes/10197921/articles/29033494?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,이감 모의고사 하반기 실모패키지 샀었는데 이번에 파이널 모의고사도 사려고 해요 둘이 겹치는게 있을까요? 연간/slim 패키지 산 사람은 중복 뺀거 사라 하던데 하반기 실모패키지랑도 겹치는지 모르겠어서요,6
사문 복지 문제,https://cafe.naver.com/f-e/cafes/10197921/articles/29033414?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"공공부조는 국가가 전부 부담하고, 사회보험은 사업주, 근로자, 자영업자가 부담하고 사회 서비스는 수익자가 부담한다고 알고 있습니다.​그런데 사회보험이나 사회서비스 둘 다 비용을 국가가 전부 또는 일부 부담해준다고 알고 있어서 헷갈립니다. 사회 서비스는 일정 소득 이하면 국가가 전부/일부 부담해주고 사회보험의 경우에는 소득이 적어 납부할 수 없을 때 신청 하면 보험 납부예외시켜준다고 들었습니다. ​A와 C중 누가 사회보험이고 누가 사회 서비스인지 어떻게 알 수 있나요?",6
미적 29번 급수 문제,https://cafe.naver.com/f-e/cafes/10197921/articles/29033269?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,미적 29번 급수 문제 고정인가요?원래 미적 4점 다 버리는데 이 유형만 파보면 괜찮을까요,6
정시 농어촌 입결 상승 예측,https://cafe.naver.com/f-e/cafes/10197921/articles/29033240?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,학교 데이터나 정보 찾아봐도 작년엔80초 건동홍숙80초중반-중후반 중경외시80후반- 서성한80극후-90초반- 서연고​이던데 올해 수험생이 많이 늘기도 했고 의대 인원 축소가 정시 농어촌 입결 상승에 얼마나 영향을 미칠까뇨?​​,6
현돌 9평특강 후기,https://cafe.naver.com/f-e/cafes/10197921/articles/29033236?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,윤리에서 유명한 현자의돌 블로그! 전 기시감이라는 책만 활용하다가 이번에 9평특강을 들어봤는데요확실히 요즘 생윤 트렌드를 잘 반영해서 설명해주시는 것 같아서 도움이 많이 될 것 같습니다.자료도 많이 주셔서 여러가지로 잘 활용할 수 있을 것 같아요생윤 파이널 커리는 현돌 적극 추천드립니당!,0
사는고통이 크니까,https://cafe.naver.com/f-e/cafes/10197921/articles/29033193?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,안살면되네,6
뭐가 더 쉽다고 생각하시나여,https://cafe.naver.com/f-e/cafes/10197921/articles/29033185?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,영어 2등급을 1등급으로 올리기vs생명 4등급을 3등급으로 올리기..최저러입니다ㅠㅜ...간절해요........뭐가 더 쉬울까요...?​,6
수학 안정적으로 2등급받으려면 뭐하는게 좋을까요??,https://cafe.naver.com/f-e/cafes/10197921/articles/29033167?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"수학 성적이 6모 2등급7모 3등급9모 4등급10모 2등급 이렇게 오락가락해요지금은 엔티켓 시즌1 수12미적 하고있고수1은 마더텅, 미적은 너기출 병행하고있습니다(엔티켓은 시즌1 거의 다 해서 시즌2도 할생각이있어요)다른과목도 챙겨야해서 하루에 수학은 5시간 조금 안되게 하고 있는것 같아요 남은기간 어떻게 해나가면 좋을까요?? 참고로 메가패스는 안끊었고 대성패스만있어요",6
단국대논술보고 자살충동이들어요,https://cafe.naver.com/f-e/cafes/10197921/articles/29033079?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,그냥 여기서 다 끝내는게 효율적일까요,6
단대 오후 합격가능성 없는거죠,https://cafe.naver.com/f-e/cafes/10197921/articles/29033026?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,1-1 맞1-2 p2틀1-3맞2-1 1플마루트7이 나오긴햇는데 답은 모르겟음2-2 모름,6
정시 약대 vs 반도체,https://cafe.naver.com/f-e/cafes/10197921/articles/29033020?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,고대 계약학과 반도체공학과랑 연고서성한 약대 중에서 어디가 가기 더 힘든가요? 작년 입결만 보면 반도체공학과가 조금 낮은 거 같긴 한데 재작년은 반도체 성적이 더 높은거 같아서 질문드립니다!,6
생명과학 실모/기출 추천해주세여,https://cafe.naver.com/f-e/cafes/10197921/articles/29032988?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"보통 3등급 정도 나오는데 이번 10모 때 공부를 너무 안 해서 그런지 개념 문제랑 이것저것 너무 많이 틀렸더라구요.. 다시 풀어보니까 2문제 빼곤 다 풀었습니다. 기출은 자이스토리 풀었고, 따로 4-5개년치 기출만 모아져있는 문제도 반정도 풀었습니다. 실모는 pdf로 풀어봤는데 4등급? 정도 나오더라구요.. 실모를 푸는게 나을까요? 아니면 기출을 시간 재고 푸는 연습을 하는게 나을까요? 만약 실모라면 어떤게 젤 나을지 추천해주세요",0
현 고2 수학 4등급인데 조언부탁드립니다,https://cafe.naver.com/f-e/cafes/10197921/articles/29032985?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,모고 꾸준히 4등급 입니다! 수1 수2 개념 다시하는 게 좋을까요? 첨 공부할 때 현우진 시발점 들었어요,6
문학 수특/수완 연계 모음집 추천,https://cafe.naver.com/f-e/cafes/10197921/articles/29032886?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,문학 연계 확률 높은 작품 모아둔 책 사고 싶은데 추천해주세요! 원래 플러스알파닷 사려고 했는데 판매종료네요..,0
아수라일지라도 총정리과제 조언부탁드려요ㅠㅠ,https://cafe.naver.com/f-e/cafes/10197921/articles/29032763?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"9모 2끝자락 맞은 현역 고3입니다. 아수라일지라도를 늦게라도 듣고 싶은데, 총정리 과제가 매진된 것으로 확인되네요. 혹시 아수라일지라도는 본책으로 충분한 기술을 익힐 수 있는 구조인가요? 아니면 총정리 과제의 부재가 컨텐츠의 이점을 퇴색시킬 정도로 결정적인가요? 또, 혹시 아수라일지라도와 같은 파이널 강의와 문풀을 동시 진행하는 강의가 있으면 그것도 추천해주시면 감사하겠습니다!",6
탐구 중 하나 사탐으로 할려는데 추천 해주세요,https://cafe.naver.com/f-e/cafes/10197921/articles/29032718?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,물리1 하는데 사문이랑 생윤 둘 중에 어떤 걸 해야 할 지 고민입니다..,6
"강대k 생명1 9회,10회 답지좀 부탁드립니다",https://cafe.naver.com/f-e/cafes/10197921/articles/29032687?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,"​강대k 생명1 9회,10회 답지좀 부탁드립니다​부탁드립니다~​​",0
지구1 ebs만으로 1등급 가능?,https://cafe.naver.com/f-e/cafes/10197921/articles/29032571?boardtype=L&userDisplay=50&menuid=3786&referrerAllArticles=false&page=2,메가패스 이런거 안하고 ebs 수특 수완 파이널 봉투모고만 돌리고 개념 뺑이 치고 있는데 사설 안듣고도 1등급 맞을 수 있나요?,6
